ProteinId	SampleName	Intensity	techRep	bioRep	Replicate	Imputed	log2NInt	log2NIntNorm	nRLE	z_norm	RunId	Condition
O14776	LFQ.intensity.6_hu_P3	22807000	1	3	3	0	24.4429733533094	24.4429733533094	1.15108398690239	1.21797191064511	Parental_SKBR3.3	Parental_SKBR3
O14818	LFQ.intensity.2_hu_P1	0	1	1	1	1	0	22.1372084067599	0.485360742021019	0.521168064294112	Parental_SKBR3.1	Parental_SKBR3
O14818	LFQ.intensity.4_hu_P2	0	1	2	2	1	0	20.4331909481262	-1.2186567166127	-1.30856269790471	Parental_SKBR3.2	Parental_SKBR3
O14818	LFQ.intensity.6_hu_P3	0	1	3	3	1	0	20.5484688832353	-1.10337878150356	-1.18478017267104	Parental_SKBR3.3	Parental_SKBR3
O14828	LFQ.intensity.2_hu_P1	18561000	1	1	1	0	24.1457711039969	24.1457711039969	1.13995544461562	0.685321086186368	Parental_SKBR3.1	Parental_SKBR3
O14828	LFQ.intensity.4_hu_P2	13632000	1	2	2	0	23.7004939048879	23.7004939048879	0.694678245506662	0.417628295920983	Parental_SKBR3.2	Parental_SKBR3
O14828	LFQ.intensity.6_hu_P3	24324000	1	3	3	0	24.5358771588501	24.5358771588501	1.53006149946888	0.919845958630013	Parental_SKBR3.3	Parental_SKBR3
O14907	LFQ.intensity.2_hu_P1	8663000	1	1	1	0	23.0464352866119	23.0464352866119	-0.939067720388181	-1.52613885371692	Parental_SKBR3.1	Parental_SKBR3
O14907	LFQ.intensity.4_hu_P2	14094000	1	2	2	0	23.7485777833954	23.7485777833954	-0.236925223604647	-0.385042293881804	Parental_SKBR3.2	Parental_SKBR3
O14907	LFQ.intensity.6_hu_P3	12789000	1	3	3	0	23.6084001253472	23.6084001253472	-0.377102881652906	-0.612853947637787	Parental_SKBR3.3	Parental_SKBR3
Q5SRD1	LFQ.intensity.2_hu_P1	4508200	1	1	1	0	22.1041200894057	22.1041200894057	0.153112869667996	1.40213764783905	Parental_SKBR3.1	Parental_SKBR3
Q5SRD1	LFQ.intensity.4_hu_P2	4063100	1	2	2	0	21.9541494415793	21.9541494415793	0.00314222184160684	0.0287750308091835	Parental_SKBR3.2	Parental_SKBR3
Q5SRD1	LFQ.intensity.6_hu_P3	3608100	1	3	3	0	21.7828078933678	21.7828078933678	-0.168199326369884	-1.54029251986305	Parental_SKBR3.3	Parental_SKBR3
